,Lycorine_A1,Lycorine_A9,Lycorine_A18,Bufalin_B3,Bufalin_B12,Bufalin_B20,DMSO_C5,DMSO_C14,DMSO_C22
ENSRNOG00000003245,0,0,0,0,0,0,0,0,0
ENSRNOG00000003247,1509,1453,1534,1300,1119,1458,1658,1011,1121
ENSRNOG00000003248,658,444,547,1320,888,1277,2078,1096,1237
ENSRNOG00000003251,113,90,47,61,88,128,49,43,75
ENSRNOG00000003253,1239,1152,982,1247,1415,1473,1629,1393,1265
ENSRNOG00000003254,61,31,41,26,70,47,312,15,20
ENSRNOG00000003256,10009,13636,8328,8582,13320,14062,10592,11950,10462
ENSRNOG00000003258,705,468,527,645,630,725,729,524,634
ENSRNOG00000003259,512,987,590,53,150,174,385,222,78
ENSRNOG00000003260,6,8,2,3,3,7,9,10,5
ENSRNOG00000003261,6535,4787,5245,4219,3894,4680,5943,3557,3952
ENSRNOG00000003262,12,35,13,7,0,1,2,5,4
ENSRNOG00000003263,0,5,0,0,0,1,4,0,2
ENSRNOG00000003264,198,231,192,280,330,395,525,327,335
ENSRNOG00000003266,14,0,5,5,1,4,2,1,3
ENSRNOG00000003267,183,150,130,186,203,258,354,280,230
ENSRNOG00000003268,2045,1898,1999,1216,934,1404,1846,1108,1124
ENSRNOG00000003269,824,702,589,948,937,1085,1502,993,955
ENSRNOG00000003273,7,6,7,4,1,1,0,1,0
ENSRNOG00000003275,3,1,5,0,0,0,0,0,0
ENSRNOG00000003276,827,672,604,2032,1525,2064,3950,1769,1820
ENSRNOG00000003278,3482,5671,5081,470,396,663,374,362,515
ENSRNOG00000003279,68,82,47,26,42,30,34,40,17
ENSRNOG00000003280,3,4,8,0,2,0,1,3,3
ENSRNOG00000003281,276,211,218,450,410,448,822,329,385
ENSRNOG00000003283,2527,2135,2030,755,735,871,1521,732,820
ENSRNOG00000003284,9,13,10,0,0,5,2,1,3
ENSRNOG00000003285,16,8,4,5,3,12,32,12,8
ENSRNOG00000003287,73,378,232,47,173,128,50,169,129
ENSRNOG00000003288,127,9,23,13,4,10,41,15,30
ENSRNOG00000003289,3650,3974,2745,2980,2517,3202,4248,2803,2540
ENSRNOG00000003291,985,749,601,731,702,762,654,622,672
ENSRNOG00000003294,7,5,1,1,3,1,3,0,3
ENSRNOG00000003296,51,53,50,33,39,44,79,42,42
ENSRNOG00000003298,38,82,34,33,36,25,30,29,21
ENSRNOG00000003300,30175,34029,28314,9142,9086,5991,4934,6555,4784
ENSRNOG00000003302,1109,830,1132,1361,958,1131,1318,978,983
ENSRNOG00000003304,2,8,5,3,1,4,0,0,3
ENSRNOG00000003305,26,49,45,21,25,12,28,27,22
ENSRNOG00000003307,1982,2375,1632,1260,1991,1616,1432,1644,1376
ENSRNOG00000003310,110,171,128,292,264,318,583,297,313
ENSRNOG00000003313,4,3,2,0,0,2,1,0,0
ENSRNOG00000003326,485,645,482,413,521,614,746,443,574
ENSRNOG00000003328,1616,1859,1464,538,606,789,795,755,628
ENSRNOG00000003329,1169,703,945,572,637,648,698,487,523
ENSRNOG00000003330,3603,6345,3689,1978,3191,3626,2027,2355,2949
ENSRNOG00000003332,218,256,207,71,115,173,170,123,131
ENSRNOG00000003334,8304,5006,5617,3257,2602,3050,2291,2525,3813
ENSRNOG00000003336,22,7,66,4,7,81,21,8,69
ENSRNOG00000003338,671,802,953,514,367,585,697,369,475
ENSRNOG00000003342,5,3,6,4,3,5,1,4,4
ENSRNOG00000003343,5611,6005,4982,7582,8197,9118,11996,8404,8287
ENSRNOG00000003345,0,0,0,0,0,0,0,0,0
ENSRNOG00000003346,9,5,4,16,12,29,38,20,21
ENSRNOG00000003347,0,0,0,0,0,0,0,0,0
ENSRNOG00000003348,824,414,692,706,310,459,878,443,350
ENSRNOG00000003349,51,33,35,49,29,48,128,44,32
ENSRNOG00000003350,412,285,343,593,516,713,1015,638,740
ENSRNOG00000003354,0,0,0,0,0,0,0,0,0
ENSRNOG00000003357,455,313,1666,1620,560,1447,994,667,936
ENSRNOG00000003359,2394,1561,1878,1348,1307,1806,3686,1695,1567
ENSRNOG00000003365,84,127,102,135,111,146,215,254,86
ENSRNOG00000003367,35,19,19,11,12,10,31,13,17
ENSRNOG00000003370,1,2,0,1,0,1,1,1,0
ENSRNOG00000003374,41,74,42,62,25,46,62,17,28
ENSRNOG00000003377,0,0,0,0,0,0,0,0,0
ENSRNOG00000003384,3,3,3,20,21,11,12,16,16
ENSRNOG00000003385,401,365,295,464,492,431,651,439,451
ENSRNOG00000003386,0,1,1,3,0,0,0,0,0
ENSRNOG00000003388,36,42,22,43,9,21,50,15,11
ENSRNOG00000003392,5805,5550,4673,3205,4000,3907,4354,3248,3288
ENSRNOG00000003395,4,4,7,2,2,0,5,1,0
ENSRNOG00000003397,418,412,448,362,496,517,919,428,467
ENSRNOG00000003398,111,279,130,128,161,196,171,180,171
ENSRNOG00000003399,23325,11340,14533,10291,8342,9019,14124,8256,8320
ENSRNOG00000003400,4,5,2,21,19,11,25,8,12
ENSRNOG00000003401,0,0,4,1,0,2,10,1,0
ENSRNOG00000003402,2132,1542,2074,1073,1139,1265,2336,1069,1147
ENSRNOG00000003403,958,1193,760,1569,2649,2730,2282,2363,2750
ENSRNOG00000003407,225,336,194,93,181,219,92,193,193
ENSRNOG00000003409,0,2,0,6,7,4,3,6,0
ENSRNOG00000003424,2147,3249,2415,1332,1653,1987,1765,1570,1733
ENSRNOG00000003428,1062,1133,1035,853,876,1125,1269,911,1051
ENSRNOG00000003430,1,1,0,0,0,0,0,0,0
ENSRNOG00000003434,10,21,10,21,25,20,49,16,24
ENSRNOG00000003435,35,3,10,6,5,8,17,2,11
ENSRNOG00000003439,703,1355,719,14,76,73,178,106,74
ENSRNOG00000003442,155,318,332,20,34,51,25,28,45
ENSRNOG00000003443,5,7,3,2,4,6,3,2,2
ENSRNOG00000003452,810,954,764,457,531,694,578,524,654
ENSRNOG00000003453,35,7,33,25,35,31,65,26,19
ENSRNOG00000003455,35,37,31,9,7,19,29,6,15
ENSRNOG00000003456,0,0,0,0,0,0,0,0,0
ENSRNOG00000003457,30,10,11,4,6,12,13,6,19
ENSRNOG00000003461,2203,1695,2096,1229,1372,1497,1574,1125,1301
ENSRNOG00000003463,1408,1036,893,787,652,950,1359,910,852
ENSRNOG00000003464,365,151,197,1141,539,602,1128,559,731
ENSRNOG00000003468,4,1,6,1,5,0,3,0,1
ENSRNOG00000003469,79,11,31,3,1,3,7,3,3
ENSRNOG00000003470,429,514,363,313,436,349,529,399,265
ENSRNOG00000003472,196,120,118,146,123,133,139,77,86
ENSRNOG00000003476,30,9,11,22,7,6,8,3,8
ENSRNOG00000003479,357,318,307,144,129,202,164,139,152
ENSRNOG00000003480,65,237,13,30,64,24,61,86,14
ENSRNOG00000003486,1412,1775,559,122,258,155,385,677,144
ENSRNOG00000003491,538,343,324,533,515,724,604,408,629
ENSRNOG00000003494,212,91,116,63,40,83,63,39,65
ENSRNOG00000003495,2675,2793,2484,3094,2843,3250,4540,2628,2973
ENSRNOG00000003496,692,274,441,745,512,646,717,428,515
ENSRNOG00000003497,4685,1604,2479,1506,1460,2722,2121,1515,3490
ENSRNOG00000003498,2,0,2,0,2,2,0,0,0
ENSRNOG00000003500,0,0,0,0,0,1,0,0,0
ENSRNOG00000003501,9,7,3,0,1,0,0,0,0
ENSRNOG00000003504,1485,1301,991,788,1049,943,899,888,828
ENSRNOG00000003506,972,1103,832,1215,1237,1454,1786,1290,1312
ENSRNOG00000003508,80,242,144,124,161,226,288,226,180
ENSRNOG00000003509,0,0,0,0,0,0,0,0,0
ENSRNOG00000003510,18,9,6,13,11,6,12,6,3
ENSRNOG00000003512,1,0,2,0,0,0,0,0,0
ENSRNOG00000003515,78,25,27,37,61,45,60,48,27
ENSRNOG00000003517,177,90,100,231,107,108,180,113,142
ENSRNOG00000003518,0,0,0,0,0,0,0,0,0
ENSRNOG00000003520,7845,6203,6182,6024,6235,6312,7500,5722,6030
ENSRNOG00000003521,0,0,0,0,0,0,0,0,0
ENSRNOG00000003522,5,9,4,14,6,10,6,13,9
ENSRNOG00000003524,1620,1708,1623,4371,3905,4985,5547,3882,4230
ENSRNOG00000003526,2,7,6,49,39,29,86,56,38
ENSRNOG00000003531,0,0,0,0,0,0,0,0,0
ENSRNOG00000003532,12,1,1,0,0,0,2,0,1
ENSRNOG00000003533,164,355,181,112,147,192,146,135,128
ENSRNOG00000003536,1330,1312,1139,849,705,1044,1421,943,1058
ENSRNOG00000003537,1516,1060,3,394,371,5,707,321,8
ENSRNOG00000003538,2171,1927,2139,8399,7571,11024,12289,6046,6474
ENSRNOG00000003541,232,270,239,204,235,305,340,216,212
ENSRNOG00000003542,1799,1557,1458,1568,1688,1625,1685,1529,1478
ENSRNOG00000003543,0,0,0,0,0,0,0,0,0
ENSRNOG00000003544,41,13,12,1,0,1,2,1,6
ENSRNOG00000003545,387,335,334,430,483,524,785,442,489
ENSRNOG00000003546,21635,8171,11325,14304,18070,17230,15976,15863,18465
ENSRNOG00000003548,1,0,0,0,0,0,0,0,0
ENSRNOG00000003549,600,448,453,626,546,627,1067,595,648
ENSRNOG00000003550,697,619,529,968,746,915,1593,905,864
ENSRNOG00000003551,238,221,243,568,541,681,1118,603,606
ENSRNOG00000003553,26,43,42,222,135,147,320,164,115
ENSRNOG00000003554,145,123,120,132,113,116,147,96,119
ENSRNOG00000003555,0,0,0,0,0,0,0,0,0
ENSRNOG00000003559,1062,712,880,488,411,569,591,407,453
ENSRNOG00000003560,0,0,0,0,0,0,0,0,0
ENSRNOG00000003562,6,11,7,1,0,2,7,2,6
ENSRNOG00000003563,796,716,652,884,891,1082,1329,877,1014
ENSRNOG00000003566,1,2,0,0,1,0,1,0,0
ENSRNOG00000003567,206,201,179,197,187,244,359,194,215
ENSRNOG00000003569,0,0,0,0,0,0,0,0,0
ENSRNOG00000003575,15,2,6,28,13,13,13,7,15
ENSRNOG00000003576,579,314,402,379,446,366,665,254,305
ENSRNOG00000003578,1116,894,950,714,850,868,880,692,758
ENSRNOG00000003580,0,0,0,0,3,4,1,0,2
ENSRNOG00000003581,141,87,87,185,116,126,208,105,116
ENSRNOG00000003583,3692,3654,3247,2414,2447,2615,3233,2416,2433
ENSRNOG00000003585,0,0,0,0,1,0,0,0,0
ENSRNOG00000003587,175,77,94,55,26,44,62,42,27
ENSRNOG00000003588,0,0,0,0,0,0,0,0,0
ENSRNOG00000003590,908,1347,756,487,547,866,789,545,651
ENSRNOG00000003592,657,614,510,510,554,570,824,518,459
ENSRNOG00000003594,2059,1553,1793,1927,1650,2074,2563,1597,1726
ENSRNOG00000003595,26,15,55,0,1,0,1,2,1
ENSRNOG00000003596,3799,2961,2718,2199,2487,2446,2534,2098,2114
ENSRNOG00000003597,15950,15478,18357,7428,8652,11476,7817,8228,9577
ENSRNOG00000003599,1767,1333,1285,1345,1387,1509,1797,1350,1313
ENSRNOG00000003600,1441,2433,1617,618,1354,1632,1263,1252,1222
ENSRNOG00000003601,1,0,0,0,0,0,0,0,0
ENSRNOG00000003603,1486,2293,1638,205,282,574,370,277,384
ENSRNOG00000003606,175,325,319,120,276,287,193,227,282
ENSRNOG00000003611,786,764,575,735,780,805,984,729,658
ENSRNOG00000003613,76,145,187,65,106,199,126,112,146
ENSRNOG00000003614,120,127,67,52,70,71,107,54,57
ENSRNOG00000003616,0,0,1,0,0,1,2,1,0
ENSRNOG00000003620,14,18,11,6,10,4,22,16,7
ENSRNOG00000003622,3,5,0,490,320,368,1225,390,388
ENSRNOG00000003625,3360,2649,2860,3347,2841,3722,4093,2530,3179
ENSRNOG00000003626,17526,12472,11622,15834,14759,13642,18418,12657,12999
ENSRNOG00000003629,966,618,752,777,529,601,1076,525,510
ENSRNOG00000003633,0,0,0,0,0,0,2,0,1
ENSRNOG00000003634,515,564,552,194,219,290,336,228,204
ENSRNOG00000003635,257,256,206,216,160,187,282,204,176
ENSRNOG00000003643,42,17,33,30,34,25,46,15,25
ENSRNOG00000003645,1,0,1,0,0,0,1,0,0
ENSRNOG00000003648,25,5,12,7,2,10,5,8,28
ENSRNOG00000003649,835,794,768,836,705,1537,1159,909,1188
ENSRNOG00000003650,50,21,22,68,43,40,75,83,67
ENSRNOG00000003653,7848,9157,6658,5293,8294,6975,6242,6898,6061
ENSRNOG00000003654,264,91,122,58,30,95,93,48,211
ENSRNOG00000003657,162,61,54,78,66,74,126,44,52
ENSRNOG00000003661,3467,1494,1822,3580,2410,2568,3446,2300,2260
ENSRNOG00000003666,18,13,6,5,13,6,7,11,4
ENSRNOG00000003668,0,0,0,0,0,0,0,0,0
ENSRNOG00000003669,282,255,248,192,280,473,224,153,442
ENSRNOG00000003670,1336,1108,1107,993,839,1052,1557,895,892
ENSRNOG00000003671,0,0,0,0,0,0,0,0,0
ENSRNOG00000003672,0,0,0,0,0,0,0,0,0
ENSRNOG00000003673,199,182,176,513,424,499,758,396,464
ENSRNOG00000003674,849,259,561,722,582,632,1050,604,656
ENSRNOG00000003675,2,1,2,1,0,3,5,2,7
ENSRNOG00000003679,2529,1767,1965,1590,1833,1798,1954,1422,1488
ENSRNOG00000003680,5,12,9,2,14,2,8,2,2
ENSRNOG00000003681,2,1,9,7,4,8,8,3,0
ENSRNOG00000003682,1060,347,549,224,97,235,342,140,187
ENSRNOG00000003683,49,167,86,1,9,6,10,4,3
ENSRNOG00000003686,528,338,339,647,550,661,1218,573,683
ENSRNOG00000003687,688,326,651,756,480,1150,518,369,701
ENSRNOG00000003688,0,0,0,0,0,0,0,0,0
ENSRNOG00000003689,2091,1969,1833,2619,2379,3005,3945,2576,2557
ENSRNOG00000003691,800,1033,787,1555,1435,1724,2538,1522,1616
ENSRNOG00000003694,133,302,171,50,102,167,84,93,81
ENSRNOG00000003695,0,0,0,0,0,2,1,0,3
ENSRNOG00000003698,2,6,0,0,0,0,0,0,0
ENSRNOG00000003699,3480,1765,1764,89,255,448,273,555,280
ENSRNOG00000003703,101,66,61,441,489,570,968,487,507
ENSRNOG00000003704,44,24,82,12,10,20,46,9,14
ENSRNOG00000003705,9,2,1,9,10,9,16,4,8
ENSRNOG00000003706,1097,843,861,1785,1823,1852,2845,1644,1722
ENSRNOG00000003707,306,400,274,209,231,253,355,223,186
ENSRNOG00000003709,0,3,0,0,0,4,6,0,1
ENSRNOG00000003712,1380,1057,1143,1526,1565,1973,2299,1498,1672
ENSRNOG00000003713,0,0,0,0,0,0,0,0,0
ENSRNOG00000003714,2931,2435,2709,1088,893,1254,1714,964,1071
ENSRNOG00000003715,98,101,158,105,54,72,136,54,70
ENSRNOG00000003716,14,18,10,21,3,12,12,18,18
ENSRNOG00000003717,438,433,419,614,729,776,1114,797,761
ENSRNOG00000003718,0,0,1,0,0,0,0,0,0
ENSRNOG00000003719,683,826,622,472,765,771,804,813,666
ENSRNOG00000003720,90,100,141,75,61,91,236,121,133
ENSRNOG00000003721,93,78,53,80,77,97,80,88,95
ENSRNOG00000003722,6231,6683,4959,3250,6010,11800,3512,5721,7996
ENSRNOG00000003723,7959,7548,7505,5221,5852,7034,6932,4877,6114
ENSRNOG00000003724,1360,1034,974,1268,1356,1392,1703,1269,1216
ENSRNOG00000003726,8,0,2,24,19,19,33,19,18
ENSRNOG00000003728,158,335,174,248,271,331,416,362,303
ENSRNOG00000003732,9,8,3,33,25,41,60,26,31
ENSRNOG00000003734,0,0,0,0,0,0,0,0,0
ENSRNOG00000003736,741,399,685,1354,777,1162,1622,902,1022
ENSRNOG00000003737,6,6,15,6,2,3,7,1,3
ENSRNOG00000003738,165,58,35,39,14,21,41,15,21
ENSRNOG00000003740,1,2,0,0,0,1,1,0,3
ENSRNOG00000003741,420,612,564,35,14,20,34,27,22
ENSRNOG00000003742,394,599,336,156,224,202,155,209,166
ENSRNOG00000003743,1258,1484,1293,1226,1231,1531,1907,1465,1404
ENSRNOG00000003745,87144,59280,62150,6984,7360,11547,6033,7559,9699
ENSRNOG00000003746,0,0,0,0,0,0,1,0,0
ENSRNOG00000003747,1414,1193,1701,1454,1241,1988,2038,1355,1697
ENSRNOG00000003748,4,7,1,5,7,17,4,12,8
ENSRNOG00000003749,141,233,88,102,174,165,107,146,105
ENSRNOG00000003755,2,3,3,3,0,2,1,1,1
ENSRNOG00000003756,3,1,0,0,0,0,2,0,3
ENSRNOG00000003759,25,31,27,51,48,41,81,37,60
ENSRNOG00000003762,14,3,10,3,2,3,1,0,3
ENSRNOG00000003763,45,46,66,288,204,285,470,242,270
ENSRNOG00000003765,0,0,1,0,0,0,0,0,0
ENSRNOG00000003767,962,803,884,964,977,1144,1412,989,986
ENSRNOG00000003769,47,55,123,34,65,83,48,66,67
ENSRNOG00000003772,611,333,461,192,133,187,194,141,175
ENSRNOG00000003773,757,663,573,904,983,1100,1445,954,969
ENSRNOG00000003776,0,0,0,0,0,0,0,0,0
ENSRNOG00000003777,1390,692,872,140,51,59,78,38,45
ENSRNOG00000003778,196,90,142,207,253,211,322,210,205
ENSRNOG00000003779,996,1785,1581,507,538,719,667,577,605
ENSRNOG00000003781,2,1,1,0,1,3,2,2,3
ENSRNOG00000003782,1268,1018,1058,850,1260,1407,1401,1240,1405
ENSRNOG00000003783,20,0,9,20,0,10,22,6,20
ENSRNOG00000003784,1057,1209,1102,184,191,310,263,219,264
ENSRNOG00000003785,187,257,169,43,74,89,139,81,52
ENSRNOG00000003786,93,92,75,127,130,160,298,177,178
ENSRNOG00000003787,238,366,301,232,198,236,266,179,195
ENSRNOG00000003789,2,3,2,2,2,2,0,2,2
ENSRNOG00000003790,3,0,2,0,0,2,0,0,2
ENSRNOG00000003792,387,380,347,390,311,413,544,320,420
ENSRNOG00000003794,14,15,22,16,21,24,54,24,27
ENSRNOG00000003795,405,487,351,544,637,778,1015,625,596
ENSRNOG00000003797,2131,1903,1568,1805,2111,2062,2562,2071,1971
ENSRNOG00000003800,237,137,101,39,33,39,147,23,35
ENSRNOG00000003802,9,4,6,11,4,8,15,3,2
ENSRNOG00000003803,706,720,784,401,405,433,646,404,416
ENSRNOG00000003805,242,226,227,307,380,440,509,366,383
ENSRNOG00000003806,11,22,12,30,23,44,23,33,30
ENSRNOG00000003807,0,8,0,5,3,5,1,2,5
ENSRNOG00000003809,24026,13743,17121,20807,23384,24944,18477,15220,20677
ENSRNOG00000003812,137,68,82,61,39,31,65,31,32
ENSRNOG00000003813,68,20,28,19,44,37,127,25,23
ENSRNOG00000003815,7210,8550,6103,4276,6704,6158,5210,5296,4995
ENSRNOG00000003816,1505,1101,1123,458,394,502,712,410,402
ENSRNOG00000003821,1204,1268,1054,973,1007,1146,1636,952,1055
ENSRNOG00000003822,1929,1654,1536,1850,1748,1979,2535,1552,1621
ENSRNOG00000003825,1465,1138,1143,1103,1161,1157,1471,1056,1169
ENSRNOG00000003827,1085,1386,1035,935,954,1221,1178,1054,1019
ENSRNOG00000003829,187,169,179,350,349,433,509,348,319
ENSRNOG00000003831,47,36,19,50,80,109,154,108,76
ENSRNOG00000003832,388,151,199,84,59,101,113,71,163
ENSRNOG00000003833,774,692,499,838,772,630,1033,772,593
ENSRNOG00000003834,658,631,693,521,819,890,660,575,815
ENSRNOG00000003835,103,83,68,75,66,97,180,107,92
ENSRNOG00000003836,0,0,0,0,0,0,0,0,0
ENSRNOG00000003837,407,471,354,513,334,472,740,391,391
ENSRNOG00000003840,190,216,130,111,60,83,101,78,66
ENSRNOG00000003841,16,8,2,29,10,12,13,12,12
ENSRNOG00000003844,5227,4170,4404,3569,3080,3736,4521,2741,3234
ENSRNOG00000003845,1,5,4,1,0,0,0,2,0
ENSRNOG00000003846,1396,1331,1187,2162,2017,2402,3037,2003,2042
ENSRNOG00000003847,990,1710,992,739,1084,1304,1033,1067,1036
ENSRNOG00000003848,794,804,754,1249,863,1188,1785,822,903
ENSRNOG00000003849,299,266,195,403,431,427,660,409,384
ENSRNOG00000003853,537,688,611,458,488,660,674,595,547
ENSRNOG00000003855,1788,2406,1458,1139,1539,1664,1658,1489,1558
ENSRNOG00000003858,548,501,584,854,800,1063,1405,875,888
ENSRNOG00000003860,0,0,0,0,0,0,0,0,0
ENSRNOG00000003861,306,276,359,311,253,409,512,295,306
ENSRNOG00000003863,1062,647,966,1529,1113,1448,2067,1237,1160
ENSRNOG00000003864,509,578,431,961,904,1100,1673,986,1032
ENSRNOG00000003865,0,0,0,0,0,4,0,0,0
ENSRNOG00000003866,2556,1160,2354,6093,3390,4861,14627,5247,5300
ENSRNOG00000003869,62,85,54,480,386,483,851,481,273
ENSRNOG00000003870,25,5,19,8,8,11,20,26,5
ENSRNOG00000003872,25,20,20,185,86,126,77,127,147
ENSRNOG00000003873,689,1039,602,637,971,992,880,761,799
ENSRNOG00000003875,66,85,94,73,89,93,151,99,100
ENSRNOG00000003878,5,6,1,3,3,0,1,2,1
ENSRNOG00000003879,1415,1244,1169,1386,1495,1808,2511,1455,1608
ENSRNOG00000003880,159,16,34,19,11,11,38,15,10
ENSRNOG00000003881,900,867,814,1039,1075,1280,2394,1205,1316
ENSRNOG00000003882,216,213,202,304,359,295,272,269,240
ENSRNOG00000003883,1,0,5,0,0,1,1,0,0
ENSRNOG00000003884,17,8,11,5,6,30,10,6,13
ENSRNOG00000003887,37,68,58,16,12,13,27,19,11
ENSRNOG00000003888,0,0,1,2,0,0,0,0,2
ENSRNOG00000003889,4814,2823,3391,2053,1642,2082,2790,1636,1788
ENSRNOG00000003890,2954,2103,2342,5276,4222,4615,6437,4219,4322
ENSRNOG00000003891,4,6,3,6,3,2,3,0,0
ENSRNOG00000003893,35,22,24,43,39,69,72,36,58
ENSRNOG00000003895,390,201,216,257,142,148,426,108,173
ENSRNOG00000003897,3409,2356,5159,1365,423,979,1228,513,732
ENSRNOG00000003899,1,0,0,0,0,0,0,4,4
ENSRNOG00000003901,854,516,458,779,656,788,1027,833,706
ENSRNOG00000003902,0,0,2,0,0,0,0,2,0
ENSRNOG00000003905,388,395,366,626,622,594,832,615,601
ENSRNOG00000003908,185,201,143,222,222,247,390,193,228
ENSRNOG00000003915,272,290,288,255,187,313,414,234,299
ENSRNOG00000003917,1873,2473,2076,1611,1670,1862,1412,1207,1727
ENSRNOG00000003918,352,433,362,244,329,319,451,352,273
ENSRNOG00000003919,803,503,553,1200,1054,1173,1478,942,1018
ENSRNOG00000003923,3781,3655,3480,1580,2448,2589,1921,1862,1944
ENSRNOG00000003924,277,180,300,511,430,519,584,451,465
ENSRNOG00000003925,14,34,52,5,8,9,8,10,6
ENSRNOG00000003927,29,22,41,268,215,281,297,220,279
ENSRNOG00000003928,419,388,336,556,577,644,767,529,583
ENSRNOG00000003929,131,59,63,122,87,83,151,67,66
ENSRNOG00000003931,112,122,114,92,115,120,159,102,79
ENSRNOG00000003936,696,755,751,616,640,771,851,519,602
ENSRNOG00000003942,1041,1247,874,1045,1386,1250,1414,1197,1184
ENSRNOG00000003946,977,778,647,1495,1027,1407,1650,1087,1059
ENSRNOG00000003947,367,915,510,214,248,281,223,228,153
ENSRNOG00000003948,370,447,330,508,522,746,1233,731,659
ENSRNOG00000003949,13,1,1,4,1,2,7,5,4
ENSRNOG00000003950,119,64,78,61,39,52,106,46,49
ENSRNOG00000003951,3583,2925,2676,5198,4914,5363,7611,4565,4751
ENSRNOG00000003952,2,0,0,0,1,1,1,0,2
ENSRNOG00000003953,1298,1359,1137,991,1001,1240,1541,998,1007
ENSRNOG00000003954,1738,1013,1433,1348,1192,1495,3150,1161,1366
ENSRNOG00000003955,117,157,120,68,94,99,181,62,84
ENSRNOG00000003956,34,56,28,34,25,27,43,36,22
ENSRNOG00000003958,187,196,168,319,264,354,439,320,303
ENSRNOG00000003959,4,5,5,17,1,4,14,6,5
ENSRNOG00000003960,6,2,5,0,1,0,0,0,0
ENSRNOG00000003964,484,468,425,482,411,546,583,416,389
ENSRNOG00000003965,3,1,1,4,0,3,8,3,0
ENSRNOG00000003967,525,579,516,2356,3892,3407,5524,3602,2545
ENSRNOG00000003969,13,28,15,17,6,19,34,19,5
ENSRNOG00000003970,753,600,633,1389,1404,1819,2522,1466,1594
ENSRNOG00000003971,1485,1553,1439,1158,1431,1873,2008,1431,1657
ENSRNOG00000003972,4,3,2,2,3,2,14,4,2
ENSRNOG00000003973,394,568,395,481,537,541,639,546,477
ENSRNOG00000003975,8935,9756,10322,5907,5664,7025,9487,6542,6423
ENSRNOG00000003977,6195,3975,5866,5137,1644,2608,3589,1499,2090
ENSRNOG00000003979,55,74,65,49,39,61,58,51,29
ENSRNOG00000003980,1909,1636,1436,1495,1622,1781,1975,1443,1405
ENSRNOG00000003981,413,460,468,429,552,671,623,492,501
ENSRNOG00000003983,2061,1430,1553,2130,1788,1875,2758,1817,1619
ENSRNOG00000003984,250,357,181,145,387,319,453,254,191
ENSRNOG00000003985,116,114,92,129,117,111,215,137,138
ENSRNOG00000003988,382,555,331,316,465,449,558,463,425
ENSRNOG00000003990,1155,1046,973,1570,1500,1828,2054,1388,1579
ENSRNOG00000003991,2,5,5,3,0,8,1,8,5
ENSRNOG00000003992,51,51,72,90,71,75,113,74,100
ENSRNOG00000003993,38,31,53,77,160,105,77,47,57
ENSRNOG00000003997,0,16,3,4,20,2,28,48,3
ENSRNOG00000003998,3755,3582,3067,2308,2616,2650,2255,2081,2364
ENSRNOG00000003999,252,159,200,274,120,144,316,202,142
ENSRNOG00000004000,316,439,309,237,308,268,398,303,223
ENSRNOG00000004001,424,519,393,311,484,503,452,369,372
ENSRNOG00000004003,584,375,502,611,1137,2092,608,964,1689
ENSRNOG00000004004,230,166,163,200,224,218,333,191,170
ENSRNOG00000004006,1501,931,1107,1587,1317,1541,1720,1178,1294
ENSRNOG00000004009,1,2,0,16,15,13,45,11,8
ENSRNOG00000004011,169,263,201,200,234,379,498,233,305
ENSRNOG00000004013,5,12,5,2,2,10,3,2,2
ENSRNOG00000004014,731,607,608,602,551,646,824,605,617
ENSRNOG00000004016,622,644,629,913,971,1197,1429,975,974
ENSRNOG00000004018,190,41,104,0,1,3,1,2,6
ENSRNOG00000004019,12773,10303,11810,15459,16621,21379,13793,14624,18080
ENSRNOG00000004022,0,3,6,1,4,1,2,11,2
ENSRNOG00000004026,1130,760,904,1958,1470,1992,2096,1381,1795
ENSRNOG00000004027,1850,2191,1689,786,1321,1471,1174,1248,1226
ENSRNOG00000004029,14,4,4,3,3,0,3,1,3
ENSRNOG00000004030,0,0,0,0,0,0,0,0,0
ENSRNOG00000004032,163,261,188,202,220,253,426,258,245
ENSRNOG00000004033,268,169,157,644,308,585,735,286,493
ENSRNOG00000004035,441,616,504,527,747,812,953,667,677
ENSRNOG00000004036,1084,859,1067,866,858,1116,1535,1056,1025
ENSRNOG00000004040,12,12,11,1,3,3,2,4,3
ENSRNOG00000004048,426,294,289,279,398,606,413,507,422
ENSRNOG00000004049,3623,2251,2159,2949,3109,2992,2118,1870,2494
ENSRNOG00000004050,595,514,476,950,668,958,1041,730,787
ENSRNOG00000004057,428,276,329,336,269,290,493,212,297
ENSRNOG00000004059,62,32,38,88,81,70,104,94,78
ENSRNOG00000004060,12552,8178,9575,13172,10477,13153,18061,11254,11269
ENSRNOG00000004061,2336,1678,1803,2084,1390,1972,2680,1669,1462
ENSRNOG00000004062,14,5,2,10,7,5,15,2,21
ENSRNOG00000004063,92,57,97,546,345,665,808,396,616
ENSRNOG00000004066,14,2,5,7,11,25,9,8,9
ENSRNOG00000004067,64,15,9,13,11,6,9,12,7
ENSRNOG00000004068,822,750,641,917,830,1013,1273,864,836
ENSRNOG00000004072,4730,4711,3802,2602,2626,3796,4022,2932,3219
ENSRNOG00000004075,0,0,0,0,0,0,0,0,0
ENSRNOG00000004076,217,233,139,178,221,177,300,203,166
ENSRNOG00000004077,2,1,3,6,0,3,0,0,1
